"Item #","*Designator","Qty","Manufacturer","*Mfg Part #","Description","Value","*Package/Footprint","DNP","Instructions/Notes"
"1","C1,C2","2","Samsung Electro-Mechanics","CL10B102KB8NNNC","1nF ±10% 50V Ceramic Capacitor X7R 0603","1n","Capacitor_SMD:C_0603_1608Metric","",""
"2","CB1","1","TRIUMPH CABLE","UL1571#32AWG Purple","Single Conductor Cables (Hook-Up Wire) RoHS","32AWG Red 5cm","","DNP",""
"3","CB2","1","TRIUMPH CABLE","UL10064#32AWG Grey","Single Conductor Cables (Hook-Up Wire) RoHS","32AWG White 5cm","","DNP",""
"4","CB3","1","TRIUMPH CABLE","UL10064#32AWG Green","Single Conductor Cables (Hook-Up Wire) RoHS","32AWG Green 5cm","","DNP",""
"5","CB4","1","TRIUMPH CABLE","UL10064#32AWG Black","Single Conductor Cables (Hook-Up Wire) RoHS","32AWG Black 5cm","","DNP",""
"6","J1","1","CUI Devices","SJ1-42534-SMT-TR","2.50mm (0.094"", 3/32"", Sub Mini, Miniature) - Headphone Phone Jack Stereo (4 Conductor, TRRS) Connector Solder","SJ1-42534-SMT-TR","SJ1_42534_SMT_TR:CUI_SJ1-42534-SMT-TR","",""
"7","J2,J3","2","JST","ACHR-04V-A-S","4 Rectangular Connectors - Housings Receptacle Natural 0.047{dblquote} (1.20mm)","ACHR-04V-A-S","ACHR-04V-A-S:ACHR-04V-A-S","DNP",""
"8","J4","1","JST","BM04B-ACHSS-A-GAN-TF(LF)(SN)","CONN HEADER SMD R/A 4POS 1.2MM","BM04B-ACHSS-A-GAN-TF_LF__SN_","BM04BACHSSAGANTFLFSN","",""
"9","T1,T2,T3,T4,T5,T6,T7,T8","8","JST","SACH-003G-P0.2B","Connector Terminal ACH Gold 30~32 AWG Crimp","SACH-003G-P0.2B","","DNP","Use crimping machine AP-K2N"
